ID	SRA_ID	Mouse	Sample Type	DonorID	Species	Timepoint	Sex	Cage	CageAZ	Experiment	IndividualRxn	Reads_230215	SeqFilter	In vivo Analysis	Cdiffstrain	CFU	Toxin	LogCFU
220509_CDFMT-64	 DLAP-220509_CDFMT-64	3	Mouse stool	Donor 2	Mouse	4	F	29	C29	Expt2	Expt2_Donor 2_3	14227857	Keep	Keep	Donor2strain	3173.08	0.51	3.5
220509_CDFMT-65	 DLAP-220509_CDFMT-65	4	Mouse stool	Donor 2	Mouse	4	F	29	C29	Expt2	Expt2_Donor 2_4	2395678	Keep	Keep	Donor2strain	4342.11	0.52	3.64
Expt2_eng_stool_5	Expt2_eng_stool_5	1	Mouse stool	Donor 2	Mouse	21	M	28	C28	Expt2	Expt2_Donor 2_1	10198003	Keep	Keep	Donor2strain	42391.3	0.89	4.63
Expt2_eng_stool_8	Expt2_eng_stool_8	2	Mouse stool	Donor 2	Mouse	21	M	28	C28	Expt2	Expt2_Donor 2_2	6715677	Keep	Keep	Donor2strain	35937.5	1.24	4.56
Expt2_eng_stool_7	Expt2_eng_stool_7	3	Mouse stool	Donor 2	Mouse	21	F	29	C29	Expt2	Expt2_Donor 2_3	5854919	Keep	Keep	Donor2strain	18604.65	0.81	4.27
Expt2_eng_stool_6	Expt2_eng_stool_6	4	Mouse stool	Donor 2	Mouse	21	F	29	C29	Expt2	Expt2_Donor 2_4	10364231	Keep	Keep	Donor2strain	15753.42	0.5	4.2
S198	198	3	Mouse stool	Donor 22	Mouse	21	F	11	C11	Expt3	Expt3_Donor 22_3	6536411	Keep	Keep	ST42	51041.67	0.8	4.71
S199	199	4	Mouse stool	Donor 22	Mouse	21	F	11	C11	Expt3	Expt3_Donor 22_4	6154199	Keep	Keep	ST42	33333.33	0.94	4.52
DLAP-S114	 DLAP-114	1	Mouse stool	Donor 24	Mouse	4	M	14	C14	Expt3	Expt3_Donor 24_1	3699794	Keep	Keep	ST2	22368.42	0.61	4.35
DLAP-S115	 DLAP-115	3	Mouse stool	Donor 24	Mouse	4	F	15	C15	Expt3	Expt3_Donor 24_3	3279420	Keep	Keep	ST2	14375	0.43	4.16
DLAP-S116	 DLAP-116	4	Mouse stool	Donor 24	Mouse	4	F	15	C15	Expt3	Expt3_Donor 24_4	3868190	Keep	Keep	ST2	4692.31	0.26	3.67
S202	202	1	Mouse stool	Donor 24	Mouse	21	M	14	C14	Expt3	Expt3_Donor 24_1	9881469	Keep	Keep	ST2	1050	0.08	3.02
S203	203	2	Mouse stool	Donor 24	Mouse	21	M	14	C14	Expt3	Expt3_Donor 24_2	6834185	Keep	Keep	ST2	294.12	0.39	2.47
S204	204	3	Mouse stool	Donor 24	Mouse	21	F	15	C15	Expt3	Expt3_Donor 24_3	8176071	Keep	Keep	ST2	267.86	0.12	2.43
S205	205	4	Mouse stool	Donor 24	Mouse	21	F	15	C15	Expt3	Expt3_Donor 24_4	8530534	Keep	Keep	ST2	729.17	0.17	2.86
CDFMT_10	 CDFMT_10	1	Mouse stool	Donor 3	Mouse	5	F	20	C20	Expt1	Expt1_Donor 3_1	12511520	Keep	Keep	Donor3strain	5000	0.93	3.7
CDFMT_11	 CDFMT_11	2	Mouse stool	Donor 3	Mouse	5	F	20	C20	Expt1	Expt1_Donor 3_2	5839534	Keep	Keep	Donor3strain	16666.67	0.78	4.22
CDFMT_12	 CDFMT_12	3	Mouse stool	Donor 3	Mouse	5	F	20	C20	Expt1	Expt1_Donor 3_3	4299985	Keep	Keep	Donor3strain	1707.32	0.5	3.23
CDFMT_13	 CDFMT_13	4	Mouse stool	Donor 3	Mouse	5	F	20	C20	Expt1	Expt1_Donor 3_4	9007023	Keep	Keep	Donor3strain	6481.48	1.31	3.81
NextSeq1_1-7	 NextSeq1_1-7	1	Mouse stool	Donor 3	Mouse	21	F	20	C20	Expt1	Expt1_Donor 3_1	4288809	Keep	Keep	Donor3strain	2674.42	0.84	3.43
NextSeq1_1-8	 NextSeq1_1-8	2	Mouse stool	Donor 3	Mouse	21	F	20	C20	Expt1	Expt1_Donor 3_2	4128384	Keep	Keep	Donor3strain	2551.02	0.69	3.41
NextSeq1_1-9	 NextSeq1_1-9	4	Mouse stool	Donor 3	Mouse	21	F	20	C20	Expt1	Expt1_Donor 3_4	4082215	Keep	Keep	Donor3strain	7526.88	0.4	3.88
Expt2_eng_stool_10	Expt2_eng_stool_10	1	Mouse stool	Donor 3	Mouse	21	M	30	C30	Expt2	Expt2_Donor 3_1	11510486	Keep	Keep	Donor3strain	14893.62	0.82	4.17
Expt2_eng_stool_9	Expt2_eng_stool_9	2	Mouse stool	Donor 3	Mouse	21	M	30	C30	Expt2	Expt2_Donor 3_2	8728160	Keep	Keep	Donor3strain	7851.24	0.34	3.89
CDFMT_14	 CDFMT_14	1	Mouse stool	Donor 4	Mouse	5	F	21	C21	Expt1	Expt1_Donor 4_1	11936098	Keep	Keep	ST2	13846.15	0.5	4.14
CDFMT_15	 CDFMT_15	2	Mouse stool	Donor 4	Mouse	5	F	21	C21	Expt1	Expt1_Donor 4_2	3503485	Keep	Keep	ST2	14705.88	0.49	4.17
CDFMT_16	 CDFMT_16	3	Mouse stool	Donor 4	Mouse	5	F	21	C21	Expt1	Expt1_Donor 4_3	10725985	Keep	Keep	ST2	19540.23	0.37	4.29
CDFMT_17	 CDFMT_17	4	Mouse stool	Donor 4	Mouse	5	F	21	C21	Expt1	Expt1_Donor 4_4	4977997	Keep	Keep	ST2	27419.35	0.39	4.44
NextSeq1_1-10	 NextSeq1_1-10	1	Mouse stool	Donor 4	Mouse	21	F	21	C21	Expt1	Expt1_Donor 4_1	4207959	Keep	Keep	ST2	3534.48	0.66	3.55
NextSeq1_1-11	 NextSeq1_1-11	2	Mouse stool	Donor 4	Mouse	21	F	21	C21	Expt1	Expt1_Donor 4_2	4274905	Keep	Keep	ST2	5714.29	0.99	3.76
NextSeq1_1-12	 NextSeq1_1-12	3	Mouse stool	Donor 4	Mouse	21	F	21	C21	Expt1	Expt1_Donor 4_3	4252553	Keep	Keep	ST2	5857.14	1.03	3.77
NextSeq1_1-13	 NextSeq1_1-13	4	Mouse stool	Donor 4	Mouse	21	F	21	C21	Expt1	Expt1_Donor 4_4	4488789	Keep	Keep	ST2	7142.86	1.31	3.85
220509_CDFMT-68	 DLAP-220509_CDFMT-68	2	Mouse stool	Donor 4	Mouse	4	M	32	C32	Expt2	Expt2_Donor 4_2	4219792	Keep	Keep	ST2	21929.82	0.33	4.34
220509_CDFMT-69	 DLAP-220509_CDFMT-69	3	Mouse stool	Donor 4	Mouse	4	F	33	C33	Expt2	Expt2_Donor 4_3	3248899	Keep	Keep	ST2	92187.5	1.05	4.96
Expt2_eng_stool_14	Expt2_eng_stool_14	1	Mouse stool	Donor 4	Mouse	21	M	32	C32	Expt2	Expt2_Donor 4_1	9144531	Keep	Keep	ST2	3586.96	0.71	3.55
Expt2_eng_stool_13	Expt2_eng_stool_13	2	Mouse stool	Donor 4	Mouse	21	M	32	C32	Expt2	Expt2_Donor 4_2	10649049	Keep	Keep	ST2	3437.5	1.1	3.54
Expt2_eng_stool_12	Expt2_eng_stool_12	3	Mouse stool	Donor 4	Mouse	21	F	33	C33	Expt2	Expt2_Donor 4_3	11700305	Keep	Keep	ST2	1046.51	0.51	3.02
Expt2_eng_stool_11	Expt2_eng_stool_11	4	Mouse stool	Donor 4	Mouse	21	F	33	C33	Expt2	Expt2_Donor 4_4	11557029	Keep	Keep	ST2	2727.27	0.7	3.44
NextSeq1_1-14	 NextSeq1_1-14	1	Mouse stool	Donor 6	Mouse	21	F	23	C23	Expt1	Expt1_Donor 6_1	4681820	Keep	Keep	Donor6strain	7441.86	0.45	3.87
NextSeq1_1-15	 NextSeq1_1-15	2	Mouse stool	Donor 6	Mouse	21	F	23	C23	Expt1	Expt1_Donor 6_2	4551258	Keep	Keep	Donor6strain	9200	1.14	3.96
NextSeq1_1-16	 NextSeq1_1-16	3	Mouse stool	Donor 6	Mouse	21	F	23	C23	Expt1	Expt1_Donor 6_3	4664600	Keep	Keep	Donor6strain	2500	0.99	3.4
220509_CDFMT-70	 DLAP-220509_CDFMT-70	1	Mouse stool	Donor 6	Mouse	4	M	36	C36	Expt2	Expt2_Donor 6_1	2778814	Keep	Keep	Donor6strain	11392.41	0.08	4.06
220509_CDFMT-71	 DLAP-220509_CDFMT-71	2	Mouse stool	Donor 6	Mouse	4	M	36	C36	Expt2	Expt2_Donor 6_2	3204744	Keep	Keep	Donor6strain	25000	0.86	4.4
220509_CDFMT-72	 DLAP-220509_CDFMT-72	3	Mouse stool	Donor 6	Mouse	4	F	37	C37	Expt2	Expt2_Donor 6_3	4177419	Keep	Keep	Donor6strain	2421.88	0.06	3.38
Expt2_eng_stool_17	Expt2_eng_stool_17	1	Mouse stool	Donor 6	Mouse	21	M	36	C36	Expt2	Expt2_Donor 6_1	9392994	Keep	Keep	Donor6strain	4833.33	1.2	3.68
Expt2_eng_stool_16	Expt2_eng_stool_16	2	Mouse stool	Donor 6	Mouse	21	M	36	C36	Expt2	Expt2_Donor 6_2	11034260	Keep	Keep	Donor6strain	5531.91	0.77	3.74
Expt2_eng_stool_15	Expt2_eng_stool_15	3	Mouse stool	Donor 6	Mouse	21	F	37	C37	Expt2	Expt2_Donor 6_3	12509911	Keep	Keep	Donor6strain	3333.33	1	3.52
Expt2_eng_stool_18	Expt2_eng_stool_18	4	Mouse stool	Donor 6	Mouse	21	F	37	C37	Expt2	Expt2_Donor 6_4	8541458	Keep	Keep	Donor6strain	550	0.85	2.74
S118	118	1	Mouse stool	Donor 10	Mouse	7	M	1	C1	Expt3	Expt3_Donor 10_1	6064891	Keep	Keep	ST42			
S119	119	2	Mouse stool	Donor 10	Mouse	7	M	1	C1	Expt3	Expt3_Donor 10_2	6516627	Keep	Keep	ST42			
S120	120	3	Mouse stool	Donor 10	Mouse	7	F	2	C2	Expt3	Expt3_Donor 10_3	7404500	Keep	Keep	ST42			
S121	121	4	Mouse stool	Donor 10	Mouse	7	F	2	C2	Expt3	Expt3_Donor 10_4	8694253	Keep	Keep	ST42			
S122	122	1	Mouse stool	Donor 13	Mouse	7	M	3	C3	Expt3	Expt3_Donor 13_1	6138312	Keep	Keep	ST42			
S123	123	2	Mouse stool	Donor 13	Mouse	7	M	3	C3	Expt3	Expt3_Donor 13_2	7159750	Keep	Keep	ST42			
S124	124	3	Mouse stool	Donor 13	Mouse	7	F	4	C4	Expt3	Expt3_Donor 13_3	8509117	Keep	Keep	ST42			
S125	125	4	Mouse stool	Donor 13	Mouse	7	F	4	C4	Expt3	Expt3_Donor 13_4	5199125	Keep	Keep	ST42			
S126	126	1	Mouse stool	Donor 14	Mouse	7	M	5	C5	Expt3	Expt3_Donor 14_1	7993596	Keep	Keep	ST42			
S127	127	3	Mouse stool	Donor 14	Mouse	7	F	6	C6	Expt3	Expt3_Donor 14_3	5256859	Keep	Keep	ST42			
S128	128	4	Mouse stool	Donor 14	Mouse	7	F	6	C6	Expt3	Expt3_Donor 14_4	5786150	Keep	Keep	ST42			
S129	129	1	Mouse stool	Donor 15	Mouse	7	M	7	C7	Expt3	Expt3_Donor 15_1	6030749	Keep	Keep	ST2			
S130	130	3	Mouse stool	Donor 15	Mouse	7	F	8	C8	Expt3	Expt3_Donor 15_3	7795802	Keep	Keep	ST2			
S131	131	4	Mouse stool	Donor 15	Mouse	7	F	8	C8	Expt3	Expt3_Donor 15_4	9515279	Keep	Keep	ST2			
S132	132	1	Mouse stool	Donor 16	Mouse	7	M	10	C10	Expt3	Expt3_Donor 16_1	13089950	Keep	Keep	ST2			
S133	133	2	Mouse stool	Donor 16	Mouse	7	M	10	C10	Expt3	Expt3_Donor 16_2	7027386	Keep	Keep	ST2			
S134	134	3	Mouse stool	Donor 16	Mouse	7	F	9	C9	Expt3	Expt3_Donor 16_3	5801183	Keep	Keep	ST2			
S135	135	1	Mouse stool	HV	Mouse	7	M		C	Expt3	Expt3_HV_1	5900692	Keep	Discard				
S136	136	2	Mouse stool	HV	Mouse	7	M		C	Expt3	Expt3_HV_2	7006286	Keep	Discard				
S137	137	3	Mouse stool	HV	Mouse	7	F		C	Expt3	Expt3_HV_3	7335595	Keep	Discard				
S160	160	4	Mouse stool	HV	Mouse	7	F		C	Expt3	Expt3_HV_4	6352251	Keep	Discard				
S161	161	3	Mouse stool	Donor 22	Mouse	7	F	11	C11	Expt3	Expt3_Donor 22_3	5240910	Keep	Keep	ST42			
S162	162	4	Mouse stool	Donor 22	Mouse	7	F	11	C11	Expt3	Expt3_Donor 22_4	5194056	Keep	Keep	ST42			
S167	167	1	Mouse stool	Donor 24	Mouse	7	M	14	C14	Expt3	Expt3_Donor 24_1	5327008	Keep	Keep	ST2			
S168	168	2	Mouse stool	Donor 24	Mouse	7	M	14	C14	Expt3	Expt3_Donor 24_2	8981364	Keep	Keep	ST2			
S169	169	3	Mouse stool	Donor 24	Mouse	7	F	15	C15	Expt3	Expt3_Donor 24_3	5832599	Keep	Keep	ST2			
S170	170	4	Mouse stool	Donor 24	Mouse	7	F	15	C15	Expt3	Expt3_Donor 24_4	8190782	Keep	Keep	ST2			
S194	194	1	Mouse stool	HV	Mouse	21	M		C	Expt3	Expt3_HV_1	4953037	Keep	Discard				
S195	195	2	Mouse stool	HV	Mouse	21	M		C	Expt3	Expt3_HV_2	5415972	Keep	Discard				
S196	196	3	Mouse stool	HV	Mouse	21	F		C	Expt3	Expt3_HV_3	7491385	Keep	Discard				
S197	197	4	Mouse stool	HV	Mouse	21	F		C	Expt3	Expt3_HV_4	5318979	Keep	Discard				
S210	210	1	Mouse stool	Donor 10	Mouse	14	M	1	C1	Expt3	Expt3_Donor 10_1	6236541	Keep	Keep	ST42			
S211	211	2	Mouse stool	Donor 10	Mouse	14	M	1	C1	Expt3	Expt3_Donor 10_2	6942326	Keep	Keep	ST42			
S212	212	3	Mouse stool	Donor 10	Mouse	14	F	2	C2	Expt3	Expt3_Donor 10_3	9314320	Keep	Keep	ST42			
S214	214	1	Mouse stool	Donor 13	Mouse	14	M	3	C3	Expt3	Expt3_Donor 13_1	5432975	Keep	Keep	ST42			
S215	215	2	Mouse stool	Donor 13	Mouse	14	M	3	C3	Expt3	Expt3_Donor 13_2	9621764	Keep	Keep	ST42			
S216	216	3	Mouse stool	Donor 13	Mouse	14	F	4	C4	Expt3	Expt3_Donor 13_3	5241711	Keep	Keep	ST42			
S217	217	4	Mouse stool	Donor 13	Mouse	14	F	4	C4	Expt3	Expt3_Donor 13_4	5135214	Keep	Keep	ST42			
S218	218	1	Mouse stool	Donor 14	Mouse	14	M	5	C5	Expt3	Expt3_Donor 14_1	7873153	Keep	Keep	ST42			
S219	219	2	Mouse stool	Donor 14	Mouse	14	M	5	C5	Expt3	Expt3_Donor 14_2	5153782	Keep	Keep	ST42			
S220	220	3	Mouse stool	Donor 14	Mouse	14	F	6	C6	Expt3	Expt3_Donor 14_3	5315858	Keep	Keep	ST42			
S221	221	4	Mouse stool	Donor 14	Mouse	14	F	6	C6	Expt3	Expt3_Donor 14_4	8313000	Keep	Keep	ST42			
S222	222	1	Mouse stool	Donor 15	Mouse	14	M	7	C7	Expt3	Expt3_Donor 15_1	27489361	Keep	Keep	ST2			
S223	223	2	Mouse stool	Donor 15	Mouse	14	M	7	C7	Expt3	Expt3_Donor 15_2	5672233	Keep	Keep	ST2			
S224	224	3	Mouse stool	Donor 15	Mouse	14	F	8	C8	Expt3	Expt3_Donor 15_3	7756845	Keep	Keep	ST2			
S225	225	4	Mouse stool	Donor 15	Mouse	14	F	8	C8	Expt3	Expt3_Donor 15_4	9354529	Keep	Keep	ST2			
S226	226	1	Mouse stool	Donor 16	Mouse	14	M	10	C10	Expt3	Expt3_Donor 16_1	6128510	Keep	Keep	ST2			
S227	227	2	Mouse stool	Donor 16	Mouse	14	M	10	C10	Expt3	Expt3_Donor 16_2	4217521	Keep	Keep	ST2			
S228	228	3	Mouse stool	Donor 16	Mouse	14	F	9	C9	Expt3	Expt3_Donor 16_3	5485877	Keep	Keep	ST2			
S229	229	4	Mouse stool	Donor 16	Mouse	14	F	9	C9	Expt3	Expt3_Donor 16_4	9118933	Keep	Keep	ST2			
S230	230	1	Mouse stool	HV	Mouse	14	M		C	Expt3	Expt3_HV_1	7441745	Keep	Discard				
S231	231	2	Mouse stool	HV	Mouse	14	M		C	Expt3	Expt3_HV_2	8102962	Keep	Discard				
S252	252	3	Mouse stool	HV	Mouse	14	F		C	Expt3	Expt3_HV_3	5569967	Keep	Discard				
S253	253	4	Mouse stool	HV	Mouse	14	F		C	Expt3	Expt3_HV_4	5979550	Keep	Discard				
S254	254	3	Mouse stool	Donor 22	Mouse	14	F	11	C11	Expt3	Expt3_Donor 22_3	4806332	Keep	Keep	ST42			
S255	255	4	Mouse stool	Donor 22	Mouse	14	F	11	C11	Expt3	Expt3_Donor 22_4	5632880	Keep	Keep	ST42			
S260	260	1	Mouse stool	Donor 24	Mouse	14	M	14	C14	Expt3	Expt3_Donor 24_1	9240509	Keep	Keep	ST2			
